game_pk,gameGuid,link,gameType,season,gameDate,officialDate,isTie,gameNumber,publicFacing,doubleHeader,gamedayType,tiebreaker,calendarEventID,seasonDisplay,dayNight,scheduledInnings,reverseHomeAwayStatus,inningBreakLength,gamesInSeries,seriesGameNumber,seriesDescription,recordSource,ifNecessary,ifNecessaryDescription,status.abstractGameState,status.codedGameState,status.detailedState,status.statusCode,status.startTimeTBD,status.abstractGameCode,teams.away.score,teams.away.isWinner,teams.away.splitSquad,teams.away.seriesNumber,teams.away.leagueRecord.wins,teams.away.leagueRecord.losses,teams.away.leagueRecord.pct,teams.away.team.id,teams.away.team.name,teams.away.team.link,teams.home.score,teams.home.isWinner,teams.home.splitSquad,teams.home.seriesNumber,teams.home.leagueRecord.wins,teams.home.leagueRecord.losses,teams.home.leagueRecord.pct,teams.home.team.id,teams.home.team.name,teams.home.team.link,venue.id,venue.name,venue.link,content.link,rescheduleDate,rescheduleGameDate,status.reason,rescheduledFrom,rescheduledFromDate,description,resumeDate,resumeGameDate,resumedFrom,resumedFromDate,game_date,day_of_week,robot_umpire
666415,f25f49f0-5ae1-4141-a5cd-3949a5be4595,/api/v1.1/game/666415/feed/live,R,2022,2022-04-05T17:05:00Z,2022-04-05,False,1,True,N,Y,N,44-666415-2022-04-05,2022,day,9,False,120.0,6.0,1.0,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,2.0,False,False,1.0,0,1,0.0,451,Iowa Cubs,/api/v1/teams/451,3.0,True,False,1.0,1,0,1.0,422,Buffalo Bisons,/api/v1/teams/422,2756,Sahlen Field,/api/v1/venues/2756,/api/v1/game/666415/content,,,,,,,,,,,2022-04-05,Tuesday,True
664476,b12d5e19-cc30-4161-a919-39c2e855845f,/api/v1.1/game/664476/feed/live,R,2022,2022-04-05T20:05:00Z,2022-04-05,False,1,True,N,Y,N,44-664476-2022-04-05,2022,day,9,False,120.0,6.0,1.0,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,0.0,False,False,1.0,0,1,0.0,534,Rochester Red Wings,/api/v1/teams/534,5.0,True,False,1.0,1,0,1.0,512,Toledo Mud Hens,/api/v1/teams/512,2767,Fifth Third Field,/api/v1/venues/2767,/api/v1/game/664476/content,,,,,,,,,,,2022-04-05,Tuesday,True
664589,78e7ca1f-d522-4bc4-98a5-15fcd181f341,/api/v1.1/game/664589/feed/live,R,2022,2022-04-05T22:35:00Z,2022-04-05,False,1,True,N,Y,N,44-664589-2022-04-05,2022,night,9,False,120.0,5.0,1.0,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,5.0,True,False,1.0,1,0,1.0,531,Scranton/Wilkes-Barre RailRiders,/api/v1/teams/531,0.0,False,False,1.0,0,1,0.0,552,Syracuse Mets,/api/v1/teams/552,2823,NBT Bank Stadium,/api/v1/venues/2823,/api/v1/game/664589/content,,,,,,,,,,,2022-04-05,Tuesday,True
665458,b1ff62c0-9f24-490c-8235-364117bc7253,/api/v1.1/game/665458/feed/live,R,2022,2022-04-05T22:35:00Z,2022-04-05,False,1,True,N,Y,N,44-665458-2022-04-05,2022,night,9,False,120.0,6.0,1.0,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,3.0,True,False,1.0,1,0,1.0,494,Charlotte Knights,/api/v1/teams/494,1.0,False,False,1.0,0,1,0.0,568,Norfolk Tides,/api/v1/teams/568,2781,Harbor Park,/api/v1/venues/2781,/api/v1/game/665458/content,,,,,,,,,,,2022-04-05,Tuesday,True
665576,1aa25cfc-4445-4366-9376-eae45b0c15d0,/api/v1.1/game/665576/feed/live,R,2022,2022-04-05T22:35:00Z,2022-04-05,False,1,True,N,Y,N,44-665576-2022-04-05,2022,night,9,False,120.0,6.0,1.0,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,3.0,True,False,1.0,1,0,1.0,1960,St. Paul Saints,/api/v1/teams/1960,2.0,False,False,1.0,0,1,0.0,416,Louisville Bats,/api/v1/teams/416,2724,Louisville Slugger Field,/api/v1/venues/2724,/api/v1/game/665576/content,,,,,,,,,,,2022-04-05,Tuesday,True
666070,99464565-1533-4f77-b713-6f7424d46f2a,/api/v1.1/game/666070/feed/live,R,2022,2022-04-05T23:05:00Z,2022-04-05,False,1,True,N,Y,N,44-666070-2022-04-05,2022,night,9,False,120.0,6.0,1.0,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,4.0,True,False,1.0,1,0,1.0,541,Omaha Storm Chasers,/api/v1/teams/541,1.0,False,False,1.0,0,1,0.0,484,Indianapolis Indians,/api/v1/teams/484,2858,Victory Field,/api/v1/venues/2858,/api/v1/game/666070/content,,,,,,,,,,,2022-04-05,Tuesday,True
665849,3751e3bf-8f39-4b08-ad7d-58985aa2dd98,/api/v1.1/game/665849/feed/live,R,2022,2022-04-05T23:05:00Z,2022-04-05,False,1,True,N,Y,N,44-665849-2022-04-05,2022,night,9,False,120.0,6.0,1.0,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,6.0,True,False,1.0,1,0,1.0,533,Worcester Red Sox,/api/v1/teams/533,5.0,False,False,1.0,0,1,0.0,564,Jacksonville Jumbo Shrimp,/api/v1/teams/564,2852,121 Financial Ballpark,/api/v1/venues/2852,/api/v1/game/665849/content,,,,,,,,,,,2022-04-05,Tuesday,True
665715,5621899c-b66b-4afe-9cb4-1b08421c526b,/api/v1.1/game/665715/feed/live,R,2022,2022-04-05T23:05:00Z,2022-04-05,False,1,True,N,Y,N,44-665715-2022-04-05,2022,night,9,False,120.0,6.0,1.0,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,3.0,False,False,1.0,0,1,0.0,445,Columbus Clippers,/api/v1/teams/445,7.0,True,False,1.0,1,0,1.0,1410,Lehigh Valley IronPigs,/api/v1/teams/1410,3230,Coca-Cola Park,/api/v1/venues/3230,/api/v1/game/665715/content,,,,,,,,,,,2022-04-05,Tuesday,True
665487,57e810cf-5f35-4357-9984-cba2c629b381,/api/v1.1/game/665487/feed/live,R,2022,2022-04-05T23:35:00Z,2022-04-05,False,1,True,N,Y,N,44-665487-2022-04-05,2022,night,9,False,120.0,6.0,1.0,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,4.0,False,False,1.0,0,1,0.0,234,Durham Bulls,/api/v1/teams/234,5.0,True,False,1.0,1,0,1.0,556,Nashville Sounds,/api/v1/teams/556,4715,First Horizon Park,/api/v1/venues/4715,/api/v1/game/665487/content,,,,,,,,,,,2022-04-05,Tuesday,True
665309,ee1123fb-af3d-4691-8af6-3c6d41d69553,/api/v1.1/game/665309/feed/live,R,2022,2022-04-06T00:05:00Z,2022-04-05,False,1,True,N,E,N,44-665309-2022-04-05,2022,night,9,False,120.0,6.0,1.0,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,2.0,False,False,1.0,0,1,0.0,342,Albuquerque Isotopes,/api/v1/teams/342,3.0,True,False,1.0,1,0,1.0,238,Oklahoma City Dodgers,/api/v1/teams/238,2843,Chickasaw Bricktown Ballpark,/api/v1/venues/2843,/api/v1/game/665309/content,,,,,,,,,,,2022-04-05,Tuesday,True
