game_pk,gameGuid,link,gameType,season,gameDate,officialDate,isTie,gameNumber,publicFacing,doubleHeader,gamedayType,tiebreaker,calendarEventID,seasonDisplay,dayNight,scheduledInnings,reverseHomeAwayStatus,inningBreakLength,gamesInSeries,seriesGameNumber,seriesDescription,recordSource,ifNecessary,ifNecessaryDescription,rescheduledFrom,rescheduledFromDate,description,status.abstractGameState,status.codedGameState,status.detailedState,status.statusCode,status.startTimeTBD,status.abstractGameCode,teams.away.score,teams.away.isWinner,teams.away.splitSquad,teams.away.seriesNumber,teams.away.leagueRecord.wins,teams.away.leagueRecord.losses,teams.away.leagueRecord.pct,teams.away.team.id,teams.away.team.name,teams.away.team.link,teams.home.score,teams.home.isWinner,teams.home.splitSquad,teams.home.seriesNumber,teams.home.leagueRecord.wins,teams.home.leagueRecord.losses,teams.home.leagueRecord.pct,teams.home.team.id,teams.home.team.name,teams.home.team.link,venue.id,venue.name,venue.link,content.link,status.reason,rescheduleDate,rescheduleGameDate,resumeDate,resumeGameDate,resumedFrom,resumedFromDate,game_date,day_of_week,robot_umpire
723759,a818fef5-04dd-434f-ab21-aaef732b4ae5,/api/v1.1/game/723759/feed/live,R,2023,2023-04-01T17:05:00Z,2023-04-01,False,1,True,N,E,N,44-723759-2023-04-01,2023,day,9,False,120,3.0,2.0,Regular Season,S,N,Normal Game,,,,Final,F,Final,F,False,F,13.0,True,False,1.0,2,0,1.0,568,Norfolk Tides,/api/v1/teams/568,4.0,False,False,1.0,0,2,0.0,234,Durham Bulls,/api/v1/teams/234,2541,Durham Bulls Athletic Park,/api/v1/venues/2541,/api/v1/game/723759/content,,,,,,,,2023-04-01,Saturday,False
723029,061e1f3b-9a98-470c-97e5-6f6671cc4227,/api/v1.1/game/723029/feed/live,R,2023,2023-04-01T17:05:00Z,2023-04-01,False,1,True,N,E,N,44-723029-2023-04-01,2023,day,9,False,120,3.0,2.0,Regular Season,S,N,Normal Game,,,,Final,F,Final,F,False,F,2.0,True,False,1.0,2,0,1.0,1410,Lehigh Valley IronPigs,/api/v1/teams/1410,1.0,False,False,1.0,0,2,0.0,534,Rochester Red Wings,/api/v1/teams/534,2773,Innovative Field,/api/v1/venues/2773,/api/v1/game/723029/content,,,,,,,,2023-04-01,Saturday,False
723604,7cec04c7-21ff-49fc-89fc-1b7150a7c7e5,/api/v1.1/game/723604/feed/live,R,2023,2023-04-01T17:35:00Z,2023-04-01,False,1,True,N,E,N,44-723604-2023-04-01,2023,day,9,False,120,3.0,2.0,Regular Season,S,N,Normal Game,,,,Final,F,Final,F,False,F,12.0,True,False,1.0,2,0,1.0,541,Omaha Storm Chasers,/api/v1/teams/541,1.0,False,False,1.0,0,2,0.0,484,Indianapolis Indians,/api/v1/teams/484,2858,Victory Field,/api/v1/venues/2858,/api/v1/game/723604/content,,,,,,,,2023-04-01,Saturday,False
721507,e2455e9f-f519-40b9-a3f4-0827ff32f9fc,/api/v1.1/game/721507/feed/live,R,2023,2023-04-01T18:05:00Z,2023-04-01,False,1,True,Y,E,N,44-721507-2023-04-01,2023,day,7,False,120,3.0,1.0,Regular Season,S,N,Normal Game,,,,Final,F,Final,F,False,F,0.0,False,False,1.0,0,1,0.0,105,Sacramento River Cats,/api/v1/teams/105,2.0,True,False,1.0,1,0,1.0,561,Salt Lake Bees,/api/v1/teams/561,2772,Smith's Ballpark,/api/v1/venues/2772,/api/v1/game/721507/content,,,,,,,,2023-04-01,Saturday,False
721508,ee389b10-c958-475d-80f3-b84fded3d4b1,/api/v1.1/game/721508/feed/live,R,2023,2023-04-01T18:10:00Z,2023-04-01,False,2,True,Y,E,N,44-721508-2023-04-01,2023,day,7,False,120,3.0,2.0,Regular Season,S,N,Normal Game,2023-03-31T19:05:00Z,2023-03-31,Makeup of 3/31 PPD,Final,F,Final,F,True,F,7.0,True,False,1.0,1,1,0.5,105,Sacramento River Cats,/api/v1/teams/105,4.0,False,False,1.0,1,1,0.5,561,Salt Lake Bees,/api/v1/teams/561,2772,Smith's Ballpark,/api/v1/venues/2772,/api/v1/game/721508/content,,,,,,,,2023-04-01,Saturday,False
722955,fba7b414-e77b-4b99-a21a-4ea0a5cdd6ea,/api/v1.1/game/722955/feed/live,R,2023,2023-04-01T20:05:00Z,2023-04-01,False,1,True,N,E,N,44-722955-2023-04-01,2023,day,9,False,120,3.0,2.0,Regular Season,S,N,Normal Game,,,,Final,F,Final,F,False,F,6.0,True,False,1.0,1,1,0.5,422,Buffalo Bisons,/api/v1/teams/422,4.0,False,False,1.0,1,1,0.5,531,Scranton/Wilkes-Barre RailRiders,/api/v1/teams/531,2797,PNC Field,/api/v1/venues/2797,/api/v1/game/722955/content,,,,,,,,2023-04-01,Saturday,False
722654,77c71464-c64d-4ef4-91c4-464b050549b6,/api/v1.1/game/722654/feed/live,R,2023,2023-04-01T20:05:00Z,2023-04-01,False,1,True,N,E,N,44-722654-2023-04-01,2023,day,9,False,120,3.0,2.0,Regular Season,S,N,Normal Game,,,,Final,F,Final,F,False,F,16.0,True,False,1.0,1,1,0.5,552,Syracuse Mets,/api/v1/teams/552,6.0,False,False,1.0,1,1,0.5,533,Worcester Red Sox,/api/v1/teams/533,5410,Polar Park,/api/v1/venues/5410,/api/v1/game/722654/content,,,,,,,,2023-04-01,Saturday,False
722733,d86c9bba-9ab1-43a7-a83d-228310cbad9d,/api/v1.1/game/722733/feed/live,R,2023,2023-04-01T20:05:00Z,2023-04-01,False,1,True,N,E,N,44-722733-2023-04-01,2023,day,9,False,120,3.0,2.0,Regular Season,S,N,Normal Game,,,,Final,F,Final,F,False,F,6.0,True,False,1.0,1,1,0.5,1960,St. Paul Saints,/api/v1/teams/1960,1.0,False,False,1.0,1,1,0.5,512,Toledo Mud Hens,/api/v1/teams/512,2767,Fifth Third Field,/api/v1/venues/2767,/api/v1/game/722733/content,,,,,,,,2023-04-01,Saturday,False
723532,2a3ef693-d80b-4c4f-8cd9-bd85c1dc5fba,/api/v1.1/game/723532/feed/live,R,2023,2023-04-01T20:08:00Z,2023-04-01,False,1,True,N,E,N,44-723532-2023-04-01,2023,day,9,False,120,3.0,2.0,Regular Season,S,N,Normal Game,,,,Final,F,Final,F,False,F,3.0,False,False,1.0,0,2,0.0,445,Columbus Clippers,/api/v1/teams/445,4.0,True,False,1.0,2,0,1.0,451,Iowa Cubs,/api/v1/teams/451,2844,Principal Park,/api/v1/venues/2844,/api/v1/game/723532/content,,,,,,,,2023-04-01,Saturday,False
723248,dcf21382-d227-465b-a30b-cd54d38a0296,/api/v1.1/game/723248/feed/live,R,2023,2023-04-01T22:05:00Z,2023-04-01,False,1,True,Y,E,N,44-723248-2023-04-01,2023,night,7,False,120,3.0,1.0,Regular Season,S,N,Normal Game,,,,Final,F,Final,F,False,F,1.0,False,False,1.0,0,1,0.0,416,Louisville Bats,/api/v1/teams/416,3.0,True,False,1.0,1,0,1.0,556,Nashville Sounds,/api/v1/teams/556,4715,First Horizon Park,/api/v1/venues/4715,/api/v1/game/723248/content,,,,,,,,2023-04-01,Saturday,False
