web-scraper-order,web-scraper-start-url,Name,Position,Team,G-val,AB-val,R-val,H-val,2B-val,3B-val,HR-val,RBI,BB-val,SO-val,SB-val,CS-val,AVG,OBP,SLG,OPS
1718118482-1,https://www.milb.com/stats/?page=18,OnixO VegaVega,C,ROC,2,5,1,1,0,0,0,0,2,1,0,0,0.2,0.429,0.2,0.629
1718118482-2,https://www.milb.com/stats/?page=18,JorbitJ VivasVivas,2B,SWB,13,48,6,8,0,1,0,3,9,15,0,3,0.167,0.305,0.208,0.513
1718118482-3,https://www.milb.com/stats/?page=18,TaylorT WallsWalls,SS,DUR,5,21,6,8,5,1,0,5,2,6,1,0,0.381,0.435,0.714,1.149
1718118482-4,https://www.milb.com/stats/?page=18,Donta'D WilliamsWilliams,CF,NOR,2,6,0,0,0,0,0,0,1,1,0,0,0,0.143,0,0.143
1718118482-5,https://www.milb.com/stats/?page=18,BryceB WindhamWindham,C,IOW,34,107,14,28,7,2,0,12,18,27,2,0,0.262,0.37,0.364,0.734
1718118482-6,https://www.milb.com/stats/?page=18,MasatakaM YoshidaYoshida,DH,WOR,2,7,2,1,0,0,0,0,1,2,0,0,0.143,0.25,0.143,0.393
1718118482-7,https://www.milb.com/stats/?page=18,JacobJ YoungYoung,CF,ROC,3,14,1,3,0,0,0,0,2,2,1,0,0.214,0.313,0.214,0.527
1718118503-8,https://www.milb.com/stats/?page=17,TommyT PhamPham,CF,CLT,4,17,3,5,1,0,0,1,1,3,2,0,0.294,0.333,0.353,0.686
1718118503-9,https://www.milb.com/stats/?page=17,JefersonJ QueroQuero,C,NAS,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
1718118503-10,https://www.milb.com/stats/?page=17,ZachZ RemillardRemillard,2B,CLT,21,77,8,8,1,1,0,4,7,24,1,2,0.104,0.186,0.143,0.329
1718118503-11,https://www.milb.com/stats/?page=17,Sebastián S RiveroRivero,C,GWN,29,89,8,19,4,0,0,7,7,20,1,0,0.213,0.271,0.258,0.529
1718118503-12,https://www.milb.com/stats/?page=17,VictorV RoblesRobles,CF,ROC,6,20,4,7,1,1,0,3,3,6,1,0,0.35,0.435,0.5,0.935
1718118503-13,https://www.milb.com/stats/?page=17,CristhianC RodriguezRodriguez,2B,JAX,7,23,4,3,1,0,0,3,4,9,0,0,0.13,0.259,0.174,0.433
1718118503-14,https://www.milb.com/stats/?page=17,NoelberthN RomeroRomero,2B,NOR,15,45,0,6,0,0,0,2,5,18,0,2,0.133,0.226,0.133,0.359
1718118503-15,https://www.milb.com/stats/?page=17,DalvyD RosarioRosario,LF,JAX,1,4,0,1,0,0,0,0,0,1,0,0,0.25,0.25,0.25,0.5
1718118503-16,https://www.milb.com/stats/?page=17,TrevorT SchweckeSchwecke,3B,LHV,4,14,6,5,0,0,0,0,2,4,0,0,0.357,0.438,0.357,0.795
1718118503-17,https://www.milb.com/stats/?page=17,BradenB ShewmakeShewmake,2B,CLT,10,33,2,5,1,0,0,2,0,7,0,1,0.152,0.152,0.182,0.334
1718118503-18,https://www.milb.com/stats/?page=17,DylanD ShockleyShockley,C,IND,12,19,0,2,1,0,0,1,1,8,0,0,0.105,0.19,0.158,0.348
1718118503-19,https://www.milb.com/stats/?page=17,DaltonD ShuffieldShuffield,X,STP,10,27,2,4,3,0,0,4,0,9,1,0,0.148,0.179,0.259,0.438
1718118503-20,https://www.milb.com/stats/?page=17,WilliamW SimoneitSimoneit,DH,LHV,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1718118503-21,https://www.milb.com/stats/?page=17,AnthonyA SimonelliSimonelli,P,OMA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1718118503-22,https://www.milb.com/stats/?page=17,MaxM StassiStassi,C,CLT,5,11,3,1,0,0,0,1,2,4,0,0,0.091,0.375,0.091,0.466
1718118503-23,https://www.milb.com/stats/?page=17,WadeW StaussStauss,C,MEM,2,1,0,0,0,0,0,0,1,1,0,0,0,0.5,0,0.5
1718118503-24,https://www.milb.com/stats/?page=17,SeiyaS SuzukiSuzuki,RF,IOW,2,5,2,2,0,0,0,0,1,1,1,0,0.4,0.5,0.4,0.9
1718118503-25,https://www.milb.com/stats/?page=17,RhylanR ThomasThomas,CF,SYR,17,62,10,14,3,0,0,4,5,11,1,2,0.226,0.284,0.274,0.558
1718118503-26,https://www.milb.com/stats/?page=17,DarrellD ThompsonThompson,P,NAS,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1718118503-27,https://www.milb.com/stats/?page=17,TylerT TolbertTolbert,2B,OMA,20,71,7,10,2,0,0,3,7,25,5,1,0.141,0.238,0.169,0.407
1718118503-28,https://www.milb.com/stats/?page=17,ChadwickC TrompTromp,C,GWN,5,22,3,5,4,0,0,1,1,8,0,0,0.227,0.261,0.409,0.67
1718118503-29,https://www.milb.com/stats/?page=17,MichaelM TurconiTurconi,SS,BUF,7,31,4,7,1,0,0,4,0,9,0,0,0.226,0.226,0.258,0.484
1718118503-30,https://www.milb.com/stats/?page=17,RileyR UnroeUnroe,SS,TOL,20,44,3,8,3,0,0,3,6,19,3,1,0.182,0.28,0.25,0.53
1718118503-31,https://www.milb.com/stats/?page=17,FranciscoF UrbaezUrbaez,2B,LOU,13,34,5,6,2,0,0,4,5,10,1,0,0.176,0.275,0.235,0.51
1718118503-32,https://www.milb.com/stats/?page=17,GioG UrshelaUrshela,3B,TOL,3,8,2,5,0,0,0,1,1,1,0,0,0.625,0.667,0.625,1.292
1718118507-33,https://www.milb.com/stats/?page=16,LuisL LiberatoLiberato,RF,GWN,20,71,5,17,7,0,0,7,4,18,2,0,0.239,0.276,0.338,0.614
1718118507-34,https://www.milb.com/stats/?page=16,TreyT LipscombLipscomb,3B,ROC,23,90,8,23,4,0,0,8,3,20,2,1,0.256,0.287,0.3,0.587
1718118507-35,https://www.milb.com/stats/?page=16,BrandonB LockridgeLockridge,CF,SWB,43,116,21,32,7,2,0,17,25,33,21,2,0.276,0.404,0.371,0.775
1718118507-36,https://www.milb.com/stats/?page=16,NickN MadrigalMadrigal,3B,IOW,1,1,0,1,1,0,0,1,1,0,0,0,1,1,2,3
1718118507-37,https://www.milb.com/stats/?page=16,J.D.J MartinezMartinez,DH,SYR,2,8,1,3,1,0,0,3,0,1,0,0,0.375,0.375,0.5,0.875
1718118507-38,https://www.milb.com/stats/?page=16,QuincyQ McAfeeMcAfee,2B,LOU,9,24,4,6,4,0,0,0,3,5,1,0,0.25,0.357,0.417,0.774
1718118507-39,https://www.milb.com/stats/?page=16,TylerT McDonoughMcDonough,RF,WOR,10,33,3,8,2,0,0,5,4,13,1,1,0.242,0.324,0.303,0.627
1718118507-40,https://www.milb.com/stats/?page=16,AlexA McGarryMcGarry,1B,LOU,11,24,5,3,0,0,0,2,4,14,0,0,0.125,0.25,0.125,0.375
1718118507-41,https://www.milb.com/stats/?page=16,CarlosC MendozaMendoza,2B,TOL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1718118507-42,https://www.milb.com/stats/?page=16,RamonR MendozaMendoza,2B,MEM,3,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1718118507-43,https://www.milb.com/stats/?page=16,BenB MetzingerMetzinger,X,NAS,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1718118507-44,https://www.milb.com/stats/?page=16,RyanR MiddendorfMiddendorf,P,NAS,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1718118507-45,https://www.milb.com/stats/?page=16,AndruwA MonasterioMonasterio,3B,NAS,10,37,7,9,2,0,0,4,7,10,6,0,0.243,0.362,0.297,0.659
1718118507-46,https://www.milb.com/stats/?page=16,TannerT MorrisMorris,3B,STP,15,47,7,7,3,0,0,2,9,14,1,0,0.149,0.281,0.213,0.494
1718118507-47,https://www.milb.com/stats/?page=16,DrewD MountMount,DH,LOU,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1718118507-48,https://www.milb.com/stats/?page=16,TaishiT NakawakeNakawake,3B,CLT,7,16,2,2,0,0,0,0,2,6,0,1,0.125,0.263,0.125,0.388
1718118507-49,https://www.milb.com/stats/?page=16,BrianB NavarretoNavarreto,C,NAS,2,7,0,1,0,0,0,0,1,2,0,0,0.143,0.25,0.143,0.393
1718118507-50,https://www.milb.com/stats/?page=16,LarsL NootbaarNootbaar,LF,MEM,5,17,5,3,1,0,0,1,3,4,0,0,0.176,0.3,0.235,0.535
1718118507-51,https://www.milb.com/stats/?page=16,MattM O'NeillO'Neill,C,SYR,8,20,3,2,1,0,0,2,2,8,0,0,0.1,0.174,0.15,0.324
1718118507-52,https://www.milb.com/stats/?page=16,TylerT O'NeillO'Neill,DH,WOR,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1718118507-53,https://www.milb.com/stats/?page=16,JoshuaJ PalaciosPalacios,DH,IND,8,27,3,6,1,0,0,2,4,3,1,1,0.222,0.323,0.259,0.582
1718118507-54,https://www.milb.com/stats/?page=16,ConnorC PavolonyPavolony,C,NOR,2,5,1,2,1,0,0,0,0,3,0,0,0.4,0.4,0.6,1
1718118507-55,https://www.milb.com/stats/?page=16,OswaldO PerazaPeraza,SS,SWB,19,69,9,10,1,0,0,5,17,25,4,1,0.145,0.314,0.159,0.473
1718118507-56,https://www.milb.com/stats/?page=16,JoeJ PerezPerez,DH,IND,7,20,2,2,0,0,0,1,2,10,0,0,0.1,0.182,0.1,0.282
1718118507-57,https://www.milb.com/stats/?page=16,DustinD PetersonPeterson,RF,IND,9,30,4,5,0,0,0,3,3,10,2,0,0.167,0.229,0.167,0.396
1718118528-58,https://www.milb.com/stats/?page=15,DavidD FletcherFletcher,2B,GWN,39,142,16,35,4,0,0,18,16,17,5,0,0.246,0.319,0.275,0.594
1718118528-59,https://www.milb.com/stats/?page=15,TJT FriedlFriedl,CF,LOU,4,16,3,4,3,0,0,2,2,3,0,0,0.25,0.333,0.438,0.771
1718118528-60,https://www.milb.com/stats/?page=15,AvisaílA GarcíaGarcía,RF,JAX,5,19,2,2,0,1,0,0,2,7,0,0,0.105,0.19,0.211,0.401
1718118528-61,https://www.milb.com/stats/?page=15,StoneS GarrettGarrett,RF,ROC,25,82,8,15,1,0,0,5,13,30,1,0,0.183,0.295,0.195,0.49
1718118528-62,https://www.milb.com/stats/?page=15,MickeyM GasperGasper,C,WOR,2,6,1,2,0,0,0,2,3,1,0,0,0.333,0.556,0.333,0.889
1718118528-63,https://www.milb.com/stats/?page=15,JacksonJ GlennGlenn,3B,IND,2,4,1,1,1,0,0,0,1,0,0,0,0.25,0.4,0.5,0.9
1718118528-64,https://www.milb.com/stats/?page=15,JoséJ GodoyGodoy,C,LHV,16,46,5,6,1,0,0,1,3,10,0,0,0.13,0.216,0.152,0.368
1718118528-65,https://www.milb.com/stats/?page=15,JarrettJ GonzalesGonzales,C,ROC,2,1,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0.5
1718118528-66,https://www.milb.com/stats/?page=15,LuisL GonzalezGonzález,RF,SWB,22,78,12,22,5,2,0,5,10,24,3,0,0.282,0.374,0.397,0.771
1718118528-67,https://www.milb.com/stats/?page=15,VaughnV GrissomGrissom,2B,WOR,9,30,3,10,2,0,0,2,5,9,2,0,0.333,0.444,0.4,0.844
1718118528-68,https://www.milb.com/stats/?page=15,JonathanJ GuzmánGuzmán,2B,JAX,33,104,7,19,4,0,0,3,11,35,0,1,0.183,0.261,0.221,0.482
1718118528-69,https://www.milb.com/stats/?page=15,RyanR HigginsHiggins,P,NOR,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1718118528-70,https://www.milb.com/stats/?page=15,DariusD HillHill,CF,IOW,39,143,25,40,8,0,0,16,17,31,3,2,0.28,0.35,0.336,0.686
1718118528-71,https://www.milb.com/stats/?page=15,JacobJ HurtubiseHurtubise,LF,LOU,3,8,3,2,0,0,0,2,4,1,1,0,0.25,0.5,0.25,0.75
1718118528-72,https://www.milb.com/stats/?page=15,AndyA IbáñezIbáñez,2B,TOL,3,9,1,3,2,0,0,1,0,1,0,0,0.333,0.4,0.556,0.956
1718118528-73,https://www.milb.com/stats/?page=15,CoreyC JoyceJoyce,2B,TOL,9,22,5,5,2,0,0,3,6,7,2,0,0.227,0.393,0.318,0.711
1718118528-74,https://www.milb.com/stats/?page=15,CoreyC JulksJulks,RF,CLT,2,6,1,2,1,0,0,0,1,1,0,0,0.333,0.429,0.5,0.929
1718118528-75,https://www.milb.com/stats/?page=15,MaxM KeplerKepler,RF,STP,3,10,3,4,0,0,0,0,3,2,0,0,0.4,0.538,0.4,0.938
1718118528-76,https://www.milb.com/stats/?page=15,CalebC KnightKnight,P,IOW,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1718118528-77,https://www.milb.com/stats/?page=15,TaylorT KohlweyKohlwey,RF,SYR,11,34,3,3,1,0,0,2,3,13,0,0,0.088,0.162,0.118,0.28
1718118528-78,https://www.milb.com/stats/?page=15,StevenS KwanKwan,LF,COL,2,5,3,1,0,0,0,1,2,0,1,0,0.2,0.429,0.2,0.629
1718118528-79,https://www.milb.com/stats/?page=15,DJD LeMahieuLeMahieu,1B,SWB,2,5,1,0,0,0,0,0,2,1,0,0,0,0.286,0,0.286
1718118528-80,https://www.milb.com/stats/?page=15,BrooksB LeeLee,SS,STP,4,14,1,3,0,0,0,1,2,4,0,0,0.214,0.313,0.214,0.527
1718118528-81,https://www.milb.com/stats/?page=15,EddysE LeonardLeonard,SS,TOL,12,46,3,10,2,0,0,2,4,19,4,0,0.217,0.308,0.261,0.569
1718118528-82,https://www.milb.com/stats/?page=15,RoyceR LewisLewis,3B,STP,6,23,3,4,1,0,0,0,1,8,1,0,0.174,0.208,0.217,0.425
1718118531-83,https://www.milb.com/stats/?page=14,LukeL WaddellWaddell,SS,GWN,49,174,19,35,6,3,1,23,17,31,4,2,0.201,0.284,0.287,0.571
1718118531-84,https://www.milb.com/stats/?page=14,JordanJ WalkerWalker,RF,MEM,33,134,11,35,9,2,1,11,9,24,3,1,0.261,0.306,0.381,0.687
1718118531-85,https://www.milb.com/stats/?page=14,JoeyJ WiemerWiemer,CF,NAS,26,96,14,22,5,0,1,8,20,31,1,1,0.229,0.362,0.313,0.675
1718118531-86,https://www.milb.com/stats/?page=14,EliE WilsonWilson,X,IND,4,7,1,2,1,0,1,1,0,2,0,1,0.286,0.286,0.857,1.143
1718118531-87,https://www.milb.com/stats/?page=14,BrysonB WorrellWorrell,LF,GWN,2,7,2,2,1,0,1,2,0,4,0,0,0.286,0.286,0.857,1.143
1718118531-88,https://www.milb.com/stats/?page=14,SergioS AlcántaraAlcántara,3B,IND,11,33,5,6,1,0,0,1,9,9,0,1,0.182,0.357,0.212,0.569
1718118531-89,https://www.milb.com/stats/?page=14,JacobJ AmayaAmaya,SS,JAX,3,11,0,2,0,0,0,2,0,2,0,0,0.182,0.182,0.182,0.364
1718118531-90,https://www.milb.com/stats/?page=14,MikeM AnticoAntico,CF,MEM,14,40,5,8,2,0,0,3,3,10,6,0,0.2,0.25,0.25,0.5
1718118531-91,https://www.milb.com/stats/?page=14,ChristianC ArroyoArroyo,3B,NAS,3,8,3,0,0,0,0,0,2,4,0,0,0,0.273,0,0.273
1718118531-92,https://www.milb.com/stats/?page=14,DarrenD BakerBaker,2B,ROC,54,200,33,56,7,1,0,24,27,43,21,3,0.28,0.362,0.325,0.687
1718118531-93,https://www.milb.com/stats/?page=14,ElisE BarreatBarreat,2B,DUR,2,5,0,1,1,0,0,0,0,1,0,0,0.2,0.2,0.4,0.6
1718118531-94,https://www.milb.com/stats/?page=14,BradleeB BeesleyBeesley,CF,IOW,11,15,0,2,0,0,0,0,3,6,1,0,0.133,0.278,0.133,0.411
1718118531-95,https://www.milb.com/stats/?page=14,ChristianC BethancourtBethancourt,C,JAX,3,13,0,3,1,0,0,0,0,6,1,0,0.231,0.231,0.308,0.539
1718118531-96,https://www.milb.com/stats/?page=14,CarterC BinsBins,C,IND,15,40,2,11,5,0,0,6,4,20,0,0,0.275,0.383,0.4,0.783
1718118531-97,https://www.milb.com/stats/?page=14,JakeJ BurgerBurger,3B,JAX,3,11,2,3,0,0,0,1,2,2,0,0,0.273,0.385,0.273,0.658
1718118531-98,https://www.milb.com/stats/?page=14,ByronB BuxtonBuxton,CF,STP,2,6,0,0,0,0,0,1,0,3,0,0,0,0,0,0
1718118531-99,https://www.milb.com/stats/?page=14,ChristianC CairoCairo,2B,COL,5,19,5,4,0,0,0,4,2,3,0,0,0.211,0.304,0.211,0.515
1718118531-100,https://www.milb.com/stats/?page=14,HaydenH CantrelleCantrelle,2B,IOW,14,43,2,9,3,0,0,4,11,14,2,0,0.209,0.37,0.279,0.649
1718118531-101,https://www.milb.com/stats/?page=14,PhilP ClarkeClarke,1B,BUF,2,7,0,2,1,0,0,1,1,1,0,0,0.286,0.375,0.429,0.804
1718118531-102,https://www.milb.com/stats/?page=14,JasonJ DelayDelay,C,IND,8,26,3,5,2,0,0,5,2,12,0,0,0.192,0.276,0.269,0.545
1718118531-103,https://www.milb.com/stats/?page=14,JoeJ DonovanDonovan,X,COL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1718118531-104,https://www.milb.com/stats/?page=14,ElijahE DunhamDunham,LF,SWB,4,10,2,1,0,0,0,1,2,3,0,0,0.1,0.308,0.1,0.408
1718118531-105,https://www.milb.com/stats/?page=14,MatthewM DyerDyer,3B,DUR,2,4,0,1,1,0,0,1,1,2,0,0,0.25,0.4,0.5,0.9
1718118531-106,https://www.milb.com/stats/?page=14,XavierX EdwardsEdwards,SS,JAX,13,52,4,19,4,1,0,3,4,4,3,0,0.365,0.411,0.481,0.892
1718118531-107,https://www.milb.com/stats/?page=14,CadeC FergusFergus,RF,LHV,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1718118535-108,https://www.milb.com/stats/?page=13,AustinA MartinMartin,CF,STP,17,54,14,16,3,0,1,8,19,6,3,0,0.296,0.474,0.407,0.881
1718118535-109,https://www.milb.com/stats/?page=13,AngelA MartínezMartínez,2B,COL,10,32,6,8,1,0,1,4,8,5,1,1,0.25,0.415,0.375,0.79
1718118535-110,https://www.milb.com/stats/?page=13,MaxM McDowellMcDowell,C,BUF,20,59,10,9,2,0,1,3,2,22,0,0,0.153,0.219,0.237,0.456
1718118535-111,https://www.milb.com/stats/?page=13,JoseJ MirandaMiranda,1B,STP,7,28,4,7,2,0,1,3,3,5,0,0,0.25,0.313,0.429,0.742
1718118535-112,https://www.milb.com/stats/?page=13,DaneD MyersMyers,CF,JAX,25,93,18,22,5,0,1,7,12,34,3,0,0.237,0.336,0.323,0.659
