web-scraper-order,web-scraper-start-url,Team,G-val,AB-val,R-val,H-val,2B-val,3B-val,HR-val,RBI,BB-val,SO-val,SB-val,CS-val,AVG,OBP,SLG,OPS
1718120365-1,https://www.milb.com/stats/?page=18,ROC,2,5,1,1,0,0,0,0,2,1,0,0,0.2,0.429,0.2,0.629
1718120365-2,https://www.milb.com/stats/?page=18,SWB,13,48,6,8,0,1,0,3,9,15,0,3,0.167,0.305,0.208,0.513
1718120365-3,https://www.milb.com/stats/?page=18,DUR,5,21,6,8,5,1,0,5,2,6,1,0,0.381,0.435,0.714,1.149
1718120365-4,https://www.milb.com/stats/?page=18,NOR,2,6,0,0,0,0,0,0,1,1,0,0,0,0.143,0,0.143
1718120365-5,https://www.milb.com/stats/?page=18,IOW,34,107,14,28,7,2,0,12,18,27,2,0,0.262,0.37,0.364,0.734
1718120365-6,https://www.milb.com/stats/?page=18,WOR,2,7,2,1,0,0,0,0,1,2,0,0,0.143,0.25,0.143,0.393
1718120365-7,https://www.milb.com/stats/?page=18,ROC,3,14,1,3,0,0,0,0,2,2,1,0,0.214,0.313,0.214,0.527
1718120387-8,https://www.milb.com/stats/?page=17,CLT,4,17,3,5,1,0,0,1,1,3,2,0,0.294,0.333,0.353,0.686
1718120387-9,https://www.milb.com/stats/?page=17,NAS,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
1718120387-10,https://www.milb.com/stats/?page=17,CLT,21,77,8,8,1,1,0,4,7,24,1,2,0.104,0.186,0.143,0.329
1718120387-11,https://www.milb.com/stats/?page=17,GWN,29,89,8,19,4,0,0,7,7,20,1,0,0.213,0.271,0.258,0.529
1718120387-12,https://www.milb.com/stats/?page=17,ROC,6,20,4,7,1,1,0,3,3,6,1,0,0.35,0.435,0.5,0.935
1718120387-13,https://www.milb.com/stats/?page=17,JAX,7,23,4,3,1,0,0,3,4,9,0,0,0.13,0.259,0.174,0.433
1718120387-14,https://www.milb.com/stats/?page=17,NOR,15,45,0,6,0,0,0,2,5,18,0,2,0.133,0.226,0.133,0.359
1718120387-15,https://www.milb.com/stats/?page=17,JAX,1,4,0,1,0,0,0,0,0,1,0,0,0.25,0.25,0.25,0.5
1718120387-16,https://www.milb.com/stats/?page=17,LHV,4,14,6,5,0,0,0,0,2,4,0,0,0.357,0.438,0.357,0.795
1718120387-17,https://www.milb.com/stats/?page=17,CLT,10,33,2,5,1,0,0,2,0,7,0,1,0.152,0.152,0.182,0.334
