Finals,Aff,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
Louisville Bats,CIN,27.3,6.09,148,5924,5047,902,1406,299,35,210,846,148,40,732,1345,0.279,0.376,0.477,0.852,2405,119,84,9,52,9
Iowa Cubs,CHC,25.8,6.07,147,5762,4888,892,1297,302,29,207,856,111,32,729,1385,0.265,0.368,0.466,0.834,2278,97,90,12,43,6
St. Paul Saints,MIN,27,5.91,148,5811,4944,875,1302,272,32,206,834,158,38,711,1459,0.263,0.364,0.456,0.821,2256,110,101,7,48,6
Norfolk Tides,BAL,25.3,5.88,149,5800,5042,876,1384,284,28,201,828,110,29,613,1311,0.275,0.36,0.462,0.821,2327,104,88,7,50,7
Durham Bulls,TBR,25.3,5.87,150,5880,5030,881,1320,306,28,225,840,124,65,722,1524,0.262,0.36,0.469,0.828,2357,80,70,5,53,4
Lehigh Valley IronPigs,PHI,27.7,5.87,146,5696,4866,857,1285,260,31,213,817,180,44,697,1268,0.264,0.36,0.462,0.821,2246,102,60,16,57,8
Memphis Redbirds,STL,25.8,5.79,149,5948,5093,862,1332,258,23,186,802,134,25,714,1227,0.262,0.36,0.431,0.791,2194,119,92,9,40,3
Buffalo Bisons,TOR,26.1,5.76,148,5944,5009,853,1370,312,15,125,789,176,35,775,1139,0.274,0.377,0.417,0.794,2087,120,92,11,57,6
Worcester Red Sox,BOS,26.9,5.67,147,5618,4771,834,1189,236,36,215,772,197,56,721,1390,0.249,0.355,0.449,0.804,2142,82,85,4,37,9
Columbus Clippers,CLE,24.4,5.5,147,5708,4885,808,1222,293,25,176,759,111,39,680,1295,0.25,0.349,0.429,0.777,2093,84,86,8,49,6
Syracuse Mets,NYM,26.6,5.47,146,5741,4912,798,1225,224,18,222,764,98,26,694,1234,0.249,0.35,0.438,0.788,2151,98,88,13,34,10
Nashville Sounds,MIL,27.2,5.38,148,5709,4901,796,1273,264,25,183,751,129,46,672,1298,0.26,0.355,0.436,0.791,2136,120,80,10,46,3
Scranton/Wilkes-Barre RailRiders,NYY,26.2,5.38,148,5734,4908,796,1272,228,21,219,741,174,51,693,1308,0.259,0.36,0.448,0.808,2199,122,95,4,34,10
Indianapolis Indians,PIT,25.5,5.37,148,5759,4972,795,1337,281,42,160,760,115,40,678,1337,0.269,0.361,0.439,0.8,2182,122,60,10,39,10
Toledo Mud Hens,DET,25.5,5.28,148,5722,4879,782,1257,289,37,179,759,84,32,719,1296,0.258,0.357,0.442,0.799,2157,123,63,2,59,4
Omaha Storm Chasers,KCR,26.2,5.26,145,5656,4851,763,1246,280,24,176,710,223,53,671,1273,0.257,0.352,0.433,0.786,2102,111,70,14,50,6
Jacksonville Jumbo Shrimp,MIA,26.1,5.04,149,5745,5003,751,1280,222,29,160,693,124,29,628,1306,0.256,0.344,0.408,0.752,2040,124,64,9,41,4
Gwinnett Stripers,ATL,27.7,4.9,148,5745,4892,725,1223,213,31,134,678,190,34,714,1285,0.25,0.35,0.388,0.739,1900,118,74,5,60,4
Rochester Red Wings,WSN,27.1,4.88,146,5577,4893,713,1250,251,29,139,659,156,39,547,1214,0.256,0.335,0.404,0.739,1976,102,64,27,46,8
Charlotte Knights,CHW,27.5,4.52,149,5575,4961,674,1273,253,17,144,628,85,38,504,1186,0.257,0.33,0.402,0.731,1992,121,57,13,40,5
League Totals,,26.3,5.5,2954,115054,98747,16233,25743,5327,555,3680,15286,2827,791,13614,26080,0.261,0.356,0.438,0.794,43220,2178,1563,195,935,128
