Rk,Name,Age,Tm,Lev,Aff,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
1,Evan McKendry,25,"DHM,NVL",AAA,TBR-MIL,12,6,0.667,4.3,4.55,28,23,0,1,1,0,142.1,125,72,68,27,46,0,130,7,2,4,595,1.201,7.9,1.7,2.9,8.2,2.83
2,Michael McGreevy,22,MEM,AAA,STL,11,6,0.647,4.49,4.76,24,24,0,0,0,0,134.1,160,71,67,17,37,0,107,3,1,5,593,1.467,10.7,1.1,2.5,7.2,2.89
3,Caleb Boushley,29,NVL,AAA,MIL,9,8,0.529,5.11,5.44,29,26,0,0,0,0,135.2,136,82,77,18,51,0,110,5,0,2,581,1.378,9,1.2,3.4,7.3,2.16
4,Robert Gasser*,24,NVL,AAA,MIL,9,1,0.9,3.79,4.26,26,25,0,1,0,0,135.1,123,64,57,12,50,0,166,15,1,6,592,1.278,8.2,0.8,3.3,11,3.32
5,Wes Parsons,30,BFL,AAA,TOR,9,4,0.692,4.52,4.85,17,17,0,0,0,0,81.2,68,44,41,11,45,0,98,4,0,4,356,1.384,7.5,1.2,5,10.8,2.18
6,Quinn Priester,22,INA,AAA,PIT,9,4,0.692,4,4.33,22,20,1,0,0,0,108,97,52,48,6,47,0,116,5,1,6,459,1.333,8.1,0.5,3.9,9.7,2.47
7,Drew Rom*,23,"NFK,MEM",AAA,BAL-STL,9,6,0.6,4.82,5.1,21,20,0,1,0,0,97,102,55,52,8,50,0,118,9,0,8,440,1.567,9.5,0.7,4.6,10.9,2.36
8,Allan Winans,27,GWI,AAA,ATL,9,4,0.692,2.85,3.21,23,17,2,1,0,1,126.1,101,45,40,11,36,0,113,4,1,7,506,1.084,7.2,0.8,2.6,8.1,3.14
9,Cam Alldred*,26,INA,AAA,PIT,8,8,0.5,5.2,5.45,31,17,5,0,0,0,105.2,99,64,61,16,46,0,98,5,0,3,453,1.372,8.4,1.4,3.9,8.3,2.13
10,Kyle Barraclough,33,WOR,AAA,BOS,8,1,0.889,3.65,3.65,14,13,0,0,0,0,74,52,30,30,9,45,0,62,3,2,5,304,1.311,6.3,1.1,5.5,7.5,1.38
11,Kyle Dowdy,30,NFK,AAA,BAL,8,4,0.667,4.38,5.23,39,0,4,0,0,1,63.2,66,37,31,4,35,0,74,2,2,6,291,1.586,9.3,0.6,4.9,10.5,2.11
12,Caleb Kilian,26,IWA,AAA,CHC,8,3,0.727,4.56,4.94,25,24,0,0,0,0,120.1,123,66,61,17,36,1,95,7,2,4,512,1.321,9.2,1.3,2.7,7.1,2.64
13,Noah Skirrow,24,LHV,AAA,PHI,8,4,0.667,5.84,6.02,24,14,3,0,0,1,101.2,126,68,66,19,53,0,79,4,1,6,475,1.761,11.2,1.7,4.7,7,1.49
14,Mitch Spence,25,SWB,AAA,NYY,8,8,0.5,4.47,4.91,29,29,0,0,0,0,163,162,89,81,30,53,0,153,8,1,11,703,1.319,8.9,1.7,2.9,8.4,2.89
15,Garrett Stallings,25,NFK,AAA,BAL,8,4,0.667,5.47,5.72,15,12,2,0,0,1,74,85,47,45,10,25,0,80,3,1,0,324,1.486,10.3,1.2,3,9.7,3.2
16,Kent Emanuel*,31,INA,AAA,PIT,7,5,0.583,6.19,6.3,20,13,0,0,0,0,84.1,110,59,58,13,22,0,76,5,0,0,378,1.565,11.7,1.4,2.3,8.1,3.45
17,Tim Herrin*,26,CLB,AAA,CLE,7,2,0.778,3.38,3.38,33,0,19,0,0,3,37.1,21,14,14,3,20,0,43,0,0,4,149,1.098,5.1,0.7,4.8,10.4,2.15
18,Grant Holmes,27,GWI,AAA,ATL,7,3,0.7,3.54,3.98,50,0,31,0,0,13,61,53,27,24,5,26,0,74,1,0,3,258,1.295,7.8,0.7,3.8,10.9,2.85
19,Bailey Horn*,25,IWA,AAA,CHC,7,2,0.778,4.58,4.92,39,0,9,0,0,2,53,52,29,27,5,29,2,59,3,0,1,237,1.528,8.8,0.8,4.9,10,2.03
20,Janson Junk,27,NVL,AAA,MIL,7,10,0.412,4.18,4.95,27,25,1,0,0,0,140,145,77,65,14,44,0,94,5,0,2,594,1.35,9.3,0.9,2.8,6,2.14
21,Ricky Karcher,25,LOU,AAA,CIN,7,4,0.636,4.77,5.82,51,0,16,0,0,2,60.1,41,39,32,3,72,1,70,4,3,7,290,1.873,6.1,0.4,10.7,10.4,0.97
22,Anthony Maldonado,25,JCK,AAA,MIA,7,3,0.7,1.76,2.15,34,0,23,0,0,9,46,23,11,9,5,21,2,71,2,0,4,180,0.957,4.5,1,4.1,13.9,3.38
23,Gerson Moreno,27,ROC,AAA,WSN,7,5,0.583,3.14,3.64,59,0,31,0,0,10,71.2,43,29,25,5,50,4,91,7,0,6,305,1.298,5.4,0.6,6.3,11.4,1.82
24,Nick Nelson,27,LHV,AAA,PHI,7,3,0.7,4.35,4.44,20,20,0,0,0,0,97.1,102,48,47,13,42,0,75,8,0,2,423,1.479,9.4,1.2,3.9,6.9,1.79
25,Walter Pennington*,25,OMA,AAA,KCR,7,2,0.778,3.69,4.57,41,1,4,0,0,0,61,52,31,25,5,31,0,64,1,0,4,259,1.361,7.7,0.7,4.6,9.4,2.06
26,Andrew Politi,27,WOR,AAA,BOS,7,5,0.583,4.45,5.37,54,0,37,0,0,15,58.2,57,35,29,6,28,0,60,4,0,6,263,1.449,8.7,0.9,4.3,9.2,2.14
27,Cam Sanders,26,IWA,AAA,CHC,7,2,0.778,5.15,5.57,51,0,25,0,0,5,64.2,40,40,37,6,69,2,97,7,0,9,311,1.686,5.6,0.8,9.6,13.5,1.41
28,Austin Schulfer,27,STP,AAA,MIN,7,3,0.7,3.79,3.79,41,0,9,0,0,0,57,61,24,24,1,30,0,51,3,0,4,253,1.596,9.6,0.2,4.7,8.1,1.7
29,Louie Varland,25,STP,AAA,MIN,7,1,0.875,3.97,5.29,16,15,0,0,0,0,81.2,84,48,36,8,26,0,88,4,0,1,351,1.347,9.3,0.9,2.9,9.7,3.38
30,Will Warren,24,SWB,AAA,NYY,7,4,0.636,3.61,4.52,21,19,0,0,0,0,99.2,83,50,40,15,47,0,110,5,2,3,430,1.304,7.5,1.4,4.2,9.9,2.34
31,Nathan Wiles,24,DHM,AAA,TBR,7,2,0.778,5.94,6.35,20,19,0,1,0,0,89.1,100,63,59,19,27,0,72,2,0,3,383,1.422,10.1,1.9,2.7,7.3,2.67
32,Matt Wisler,30,"TOL,BFL",AAA,DET-TOR,7,2,0.778,4.6,5.46,54,2,11,0,0,2,62.2,61,38,32,7,30,0,73,3,0,6,277,1.452,8.8,1,4.3,10.5,2.43
33,Simeon Woods Richardson,22,STP,AAA,MIN,7,6,0.538,4.91,5.38,24,22,0,0,0,0,113.2,109,68,62,13,61,0,96,1,3,3,497,1.496,8.6,1,4.8,7.6,1.57
34,Aneurys Zabala,26,TOL,AAA,DET,7,3,0.7,4.25,4.93,53,0,19,0,0,5,65.2,51,36,31,2,49,0,103,7,0,6,300,1.523,7,0.3,6.7,14.1,2.1
35,Clayton Andrews*,26,NVL,AAA,MIL,6,0,1,2.53,2.84,48,1,17,0,0,5,57,39,18,16,4,31,1,74,1,1,8,238,1.228,6.2,0.6,4.9,11.7,2.39
36,Ben Bowden*,28,LHV,AAA,PHI,6,2,0.75,4.64,5.33,49,0,17,0,0,5,52.1,47,31,27,8,32,0,76,0,1,8,236,1.51,8.1,1.4,5.5,13.1,2.38
37,Jonathan Bowlan,26,OMA,AAA,KCR,6,6,0.5,5.24,5.37,14,12,1,0,0,1,67,72,40,39,12,32,0,58,0,0,2,296,1.552,9.7,1.6,4.3,7.8,1.81
38,Ben Brown,23,IWA,AAA,CHC,6,8,0.429,5.33,5.7,22,15,0,0,0,0,72.2,60,46,43,9,51,1,100,3,1,3,322,1.528,7.4,1.1,6.3,12.4,1.96
39,Joey Cantillo*,23,CLB,AAA,CLE,6,4,0.6,4.64,4.74,20,18,1,1,0,0,95,89,50,49,16,55,0,111,4,0,9,425,1.516,8.4,1.5,5.2,10.5,2.02
40,Max Castillo,24,OMA,AAA,KCR,6,7,0.462,4.58,5.12,22,21,1,0,0,0,116,117,66,59,31,28,0,94,3,0,7,490,1.25,9.1,2.4,2.2,7.3,3.36
41,Sam Clay*,30,TOL,AAA,DET,6,3,0.667,5.16,5.68,42,1,6,0,0,1,52.1,52,33,30,8,29,0,53,5,0,4,239,1.548,8.9,1.4,5,9.1,1.83
42,Nic Enright,26,"CLB,JCK",AAA,CLE-MIA,6,2,0.75,5.09,5.48,32,0,6,0,0,1,46,46,28,26,11,18,0,49,1,0,2,198,1.391,9,2.2,3.5,9.6,2.72
43,Chi Chi González,31,JCK,AAA,MIA,6,9,0.4,6.07,6.95,24,23,0,0,0,0,121.2,160,94,82,23,34,0,71,6,2,4,547,1.595,11.8,1.7,2.5,5.3,2.09
