"game_pk","gameGuid","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","description","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","rescheduleDate","rescheduleGameDate","status.reason","rescheduledFrom","rescheduledFromDate","resumeDate","resumeGameDate","resumedFrom","resumedFromDate"
647494,"004d1862-c87b-4888-93d8-d1c42d74ac21","/api/v1.1/game/647494/feed/live","R","2021","2021-05-04T22:30:00Z","2021-05-04",FALSE,1,TRUE,"N","Y","N","44-647494-2021-05-04","2021","night",9,FALSE,120,6,1,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",6,TRUE,FALSE,1,1,0,"1.000",445,"Columbus Clippers","/api/v1/teams/445",3,FALSE,FALSE,1,0,1,".000",416,"Louisville Bats","/api/v1/teams/416",2724,"Louisville Slugger Field","/api/v1/venues/2724","/api/v1/game/647494/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
646372,"bef05404-38db-4547-9012-e708b8b4c378","/api/v1.1/game/646372/feed/live","R","2021","2021-05-04T22:35:00Z","2021-05-04",FALSE,1,TRUE,"N","Y","N","44-646372-2021-05-04","2021","night",9,FALSE,120,6,1,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",2,FALSE,FALSE,1,0,1,".000",531,"Scranton/Wilkes-Barre RailRiders","/api/v1/teams/531",5,TRUE,FALSE,1,1,0,"1.000",552,"Syracuse Mets","/api/v1/teams/552",2823,"NBT Bank Stadium","/api/v1/venues/2823","/api/v1/game/646372/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
646191,"10c3971b-7b17-4cc7-84c6-20e62bc9acd3","/api/v1.1/game/646191/feed/live","R","2021","2021-05-04T22:35:00Z","2021-05-04",FALSE,1,TRUE,"N","Y","N","44-646191-2021-05-04","2021","night",9,FALSE,120,5,1,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",6,FALSE,FALSE,1,0,1,".000",556,"Nashville Sounds","/api/v1/teams/556",8,TRUE,FALSE,1,1,0,"1.000",512,"Toledo Mud Hens","/api/v1/teams/512",2767,"Fifth Third Field","/api/v1/venues/2767","/api/v1/game/646191/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
650282,"ef5f211f-7532-4670-b260-c815f17f6b3c","/api/v1.1/game/650282/feed/live","R","2021","2021-05-04T23:00:00Z","2021-05-04",FALSE,1,TRUE,"N","Y","N","44-650282-2021-05-04","2021","night",9,FALSE,NA,6,1,"Regular Season","S","N","Normal Game","in Trenton, NJ","Final","F","Final","F",FALSE,"F",1,FALSE,FALSE,1,0,1,".000",533,"Worcester Red Sox","/api/v1/teams/533",6,TRUE,FALSE,1,1,0,"1.000",422,"Buffalo Bisons","/api/v1/teams/422",2842,"Trenton Thunder Ballpark","/api/v1/venues/2842","/api/v1/game/650282/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
642922,"d84edd84-17f2-40e5-81d0-1508fbad249d","/api/v1.1/game/642922/feed/live","R","2021","2021-05-04T23:04:00Z","2021-05-04",FALSE,1,TRUE,"N","Y","N","44-642922-2021-05-04","2021","night",9,FALSE,120,6,1,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",10,TRUE,FALSE,1,1,0,"1.000",431,"Gwinnett Stripers","/api/v1/teams/431",9,FALSE,FALSE,1,0,1,".000",494,"Charlotte Knights","/api/v1/teams/494",4670,"Truist Field","/api/v1/venues/4670","/api/v1/game/642922/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
647950,"06f55a5d-79b0-4fa6-83f3-bb968fddcd62","/api/v1.1/game/647950/feed/live","R","2021","2021-05-04T23:05:00Z","2021-05-04",FALSE,1,TRUE,"N","Y","N","44-647950-2021-05-04","2021","night",9,FALSE,120,6,1,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",5,FALSE,FALSE,1,0,1,".000",568,"Norfolk Tides","/api/v1/teams/568",11,TRUE,FALSE,1,1,0,"1.000",564,"Jacksonville Jumbo Shrimp","/api/v1/teams/564",2852,"121 Financial Ballpark","/api/v1/venues/2852","/api/v1/game/647950/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
647688,"ca0df4c8-7cb3-4de9-9a1a-64785d0f592d","/api/v1.1/game/647688/feed/live","R","2021","2021-05-04T23:05:00Z","2021-05-04",FALSE,1,TRUE,"N","Y","N","44-647688-2021-05-04","2021","night",9,FALSE,120,6,1,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",5,FALSE,FALSE,1,0,1,".000",534,"Rochester Red Wings","/api/v1/teams/534",6,TRUE,FALSE,1,1,0,"1.000",1410,"Lehigh Valley IronPigs","/api/v1/teams/1410",3230,"Coca-Cola Park","/api/v1/venues/3230","/api/v1/game/647688/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
646884,"d4050ece-396a-43fc-b1aa-8c3522845e84","/api/v1.1/game/646884/feed/live","R","2021","2021-05-04T23:35:00Z","2021-05-04",FALSE,1,TRUE,"N","Y","N","44-646884-2021-05-04","2021","night",9,FALSE,120,6,1,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",2,FALSE,FALSE,1,0,1,".000",1960,"St. Paul Saints","/api/v1/teams/1960",8,TRUE,FALSE,1,1,0,"1.000",541,"Omaha Storm Chasers","/api/v1/teams/541",4271,"Werner Park","/api/v1/venues/4271","/api/v1/game/646884/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
649830,"9af75b1d-9082-4e79-a297-b05446916036","/api/v1.1/game/649830/feed/live","R","2021","2021-05-04T23:38:00Z","2021-05-04",FALSE,1,TRUE,"N","Y","N","44-649830-2021-05-04","2021","night",9,FALSE,120,5,1,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",3,TRUE,FALSE,1,1,0,"1.000",484,"Indianapolis Indians","/api/v1/teams/484",0,FALSE,FALSE,1,0,1,".000",451,"Iowa Cubs","/api/v1/teams/451",2844,"Principal Park","/api/v1/venues/2844","/api/v1/game/649830/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
647453,"a9eeea7a-6b18-4ace-9fc3-9b1021bdcf73","/api/v1.1/game/647453/feed/live","R","2021","2021-05-04T23:45:00Z","2021-05-04",FALSE,1,TRUE,"N","Y","N","44-647453-2021-05-04","2021","night",9,FALSE,120,6,1,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",7,TRUE,FALSE,1,1,0,"1.000",234,"Durham Bulls","/api/v1/teams/234",5,FALSE,FALSE,1,0,1,".000",235,"Memphis Redbirds","/api/v1/teams/235",2542,"AutoZone Park","/api/v1/venues/2542","/api/v1/game/647453/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
